PERIODO.autoCalendar.YearMonth,FT_DASHBOARD_RELACIONAMENTO.SEGMENTO,Quantidade de Usuários
2025-Jun,CAMPEAO,735599
2025-Jun,CLIENTE PROMISSOR,650797
2025-Jun,CLIENTES FIEIS,3197399
2025-Jun,EM RISCO,473419
2025-Jun,HIBERNANDO,1654130
2025-Jun,NOVOS CLIENTES,126874
2025-Jun,POTENCIAL FIEL,2478000
2025-Jun,PRECISA DE ATENÇÃO,447812
2025-Jul,CAMPEAO,772469
2025-Jul,CLIENTE PROMISSOR,641244
2025-Jul,CLIENTES FIEIS,3302675
2025-Jul,EM RISCO,417310
2025-Jul,HIBERNANDO,1639462
2025-Jul,NOVOS CLIENTES,129892
2025-Jul,POTENCIAL FIEL,2538239
2025-Jul,PRECISA DE ATENÇÃO,470490
2025-Ago,CAMPEAO,821590
2025-Ago,CLIENTE PROMISSOR,638466
2025-Ago,CLIENTES FIEIS,3345543
2025-Ago,EM RISCO,406710
2025-Ago,HIBERNANDO,1662559
2025-Ago,NOVOS CLIENTES,123851
2025-Ago,POTENCIAL FIEL,2476328
2025-Ago,PRECISA DE ATENÇÃO,467121
2025-Set,CAMPEAO,829092
2025-Set,CLIENTE PROMISSOR,629007
2025-Set,CLIENTES FIEIS,3318839
2025-Set,EM RISCO,426586
2025-Set,HIBERNANDO,1684408
2025-Set,NOVOS CLIENTES,103419
2025-Set,POTENCIAL FIEL,2464810
2025-Set,PRECISA DE ATENÇÃO,467736
2025-Out,CAMPEAO,866959
2025-Out,CLIENTE PROMISSOR,634384
2025-Out,CLIENTES FIEIS,3394197
2025-Out,EM RISCO,438162
2025-Out,HIBERNANDO,1711887
2025-Out,NOVOS CLIENTES,108602
2025-Out,POTENCIAL FIEL,2478934
2025-Out,PRECISA DE ATENÇÃO,450580
2025-Nov,CAMPEAO,878603
2025-Nov,CLIENTE PROMISSOR,619806
2025-Nov,CLIENTES FIEIS,3381718
2025-Nov,EM RISCO,443490
2025-Nov,HIBERNANDO,1679881
2025-Nov,NOVOS CLIENTES,115242
2025-Nov,POTENCIAL FIEL,2548641
2025-Nov,PRECISA DE ATENÇÃO,449374
2025-Dez,CAMPEAO,928884
2025-Dez,CLIENTE PROMISSOR,655072
2025-Dez,CLIENTES FIEIS,3522855
2025-Dez,EM RISCO,437799
2025-Dez,HIBERNANDO,1638869
2025-Dez,NOVOS CLIENTES,129723
2025-Dez,POTENCIAL FIEL,2707841
2025-Dez,PRECISA DE ATENÇÃO,432228
2026-Jan,CAMPEAO,913209
2026-Jan,CLIENTE PROMISSOR,728036
2026-Jan,CLIENTES FIEIS,3490381
2026-Jan,EM RISCO,453165
2026-Jan,HIBERNANDO,1633659
2026-Jan,NÃO PERDER,1
2026-Jan,NOVOS CLIENTES,115553
2026-Jan,POTENCIAL FIEL,2565957
2026-Jan,PRECISA DE ATENÇÃO,477430
2026-Fev,CAMPEAO,872347
2026-Fev,CLIENTE PROMISSOR,664485
2026-Fev,CLIENTES FIEIS,3306197
2026-Fev,EM RISCO,406055
2026-Fev,HIBERNANDO,1695770
2026-Fev,NOVOS CLIENTES,98447
2026-Fev,POTENCIAL FIEL,2408632
2026-Fev,PRECISA DE ATENÇÃO,519929
2026-Mar,CAMPEAO,898428
2026-Mar,CLIENTE PROMISSOR,642890
2026-Mar,CLIENTES FIEIS,3523695
2026-Mar,EM RISCO,413111
2026-Mar,HIBERNANDO,1805873
2026-Mar,NOVOS CLIENTES,108873
2026-Mar,POTENCIAL FIEL,2563329
2026-Mar,PRECISA DE ATENÇÃO,482522
2026-Abr,CAMPEAO,892263
2026-Abr,CLIENTE PROMISSOR,644616
2026-Abr,CLIENTES FIEIS,3473547
2026-Abr,EM RISCO,410710
2026-Abr,HIBERNANDO,1841385
2026-Abr,NOVOS CLIENTES,102601
2026-Abr,POTENCIAL FIEL,2497912
2026-Abr,PRECISA DE ATENÇÃO,476990
2026-Mai,CAMPEAO,914542
2026-Mai,CLIENTE PROMISSOR,637724
2026-Mai,CLIENTES FIEIS,3610572
2026-Mai,EM RISCO,439671
2026-Mai,HIBERNANDO,1807300
2026-Mai,NOVOS CLIENTES,106861
2026-Mai,POTENCIAL FIEL,2656388
2026-Mai,PRECISA DE ATENÇÃO,468218
2026-Jun,CAMPEAO,888219
2026-Jun,CLIENTE PROMISSOR,674678
2026-Jun,CLIENTES FIEIS,3498096
2026-Jun,EM RISCO,500444
2026-Jun,HIBERNANDO,1743638
2026-Jun,NOVOS CLIENTES,100734
2026-Jun,POTENCIAL FIEL,2553236
2026-Jun,PRECISA DE ATENÇÃO,473949
2026-Jul,CAMPEAO,384496
2026-Jul,CLIENTE PROMISSOR,836448
2026-Jul,CLIENTES FIEIS,3087928
2026-Jul,EM RISCO,510831
2026-Jul,HIBERNANDO,2082219
2026-Jul,NOVOS CLIENTES,20508
2026-Jul,POTENCIAL FIEL,1440621
2026-Jul,PRECISA DE ATENÇÃO,669848
