Data,Status,Quantidade de Clientes
2025-Jun,ATIVO,5137525
2025-Jun,CHURN,460924
2025-Jun,DORMENTE,2501630
2025-Jun,INATIVO,1671519
2025-Jul,ATIVO,5330006
2025-Jul,CHURN,405035
2025-Jul,DORMENTE,2527549
2025-Jul,INATIVO,1656974
2025-Ago,ATIVO,5346983
2025-Ago,CHURN,392934
2025-Ago,DORMENTE,2528424
2025-Ago,INATIVO,1681858
2025-Set,ATIVO,5300562
2025-Set,CHURN,412476
2025-Set,DORMENTE,2514684
2025-Set,INATIVO,1704174
2025-Out,ATIVO,5424375
2025-Out,CHURN,422908
2025-Out,DORMENTE,2511731
2025-Out,INATIVO,1732881
2025-Nov,ATIVO,5542805
2025-Nov,CHURN,428768
2025-Nov,DORMENTE,2454014
2025-Nov,INATIVO,1700168
2025-Dez,ATIVO,5883469
2025-Dez,CHURN,423252
2025-Dez,DORMENTE,2496964
2025-Dez,INATIVO,1659022
2026-Jan,ATIVO,5512240
2026-Jan,CHURN,438446
2026-Jan,DORMENTE,2781895
2026-Jan,INATIVO,1654826
2026-Fev,ATIVO,5163120
2026-Fev,CHURN,390560
2026-Fev,DORMENTE,2710532
2026-Fev,INATIVO,1717897
2026-Mar,ATIVO,5616025
2026-Mar,CHURN,395869
2026-Mar,DORMENTE,2607888
2026-Mar,INATIVO,1829991
2026-Abr,ATIVO,5483629
2026-Abr,CHURN,393703
2026-Abr,DORMENTE,2609177
2026-Abr,INATIVO,1865749
2026-Mai,ATIVO,5847292
2026-Mai,CHURN,421633
2026-Mai,DORMENTE,2559138
2026-Mai,INATIVO,1837630
2026-Jun,ATIVO,5536682
2026-Jun,CHURN,482346
2026-Jun,DORMENTE,2664720
2026-Jun,INATIVO,1775967
